store_id,timezone_str
3.12075E+18,America/Denver
5.22312E+18,America/Denver
5.22312E+18,America/Denver
5.22312E+18,America/Denver
5.22312E+18,America/Denver
5.22312E+18,America/Denver
5.22312E+18,America/Denver
5.22312E+18,America/Denver
1.97437E+18,America/Denver
1.97437E+18,America/Denver
1.97437E+18,America/Denver
1.97437E+18,America/Denver
1.97437E+18,America/Denver
1.88169E+18,America/Denver
1.88169E+18,America/Denver
1.88169E+18,America/Denver
7.10887E+18,America/Denver
7.10887E+18,America/Denver
6.95574E+17,America/Denver
6.95574E+17,America/Denver
6.95574E+17,America/Denver
6.95574E+17,America/Denver
6.95574E+17,America/Denver
6.95574E+17,America/Denver
6.95574E+17,America/Denver
6.72436E+18,America/Denver
6.72436E+18,America/Denver
7.96623E+18,America/Denver
7.96623E+18,America/Denver
7.96623E+18,America/Denver
7.96623E+18,America/Denver
7.96623E+18,America/Denver
7.96623E+18,America/Denver
7.96623E+18,America/Denver
4.1284E+18,America/Denver
4.1284E+18,America/Denver
5.32669E+18,America/Denver
5.32669E+18,America/Denver
5.32669E+18,America/Denver
5.32669E+18,America/Denver
5.32669E+18,America/Denver
5.32669E+18,America/Denver
6.44289E+18,America/Denver
6.44289E+18,America/Denver
2.8262E+18,America/Denver
2.8262E+18,America/Denver
8.76237E+18,America/Denver
8.76237E+18,America/Denver
3.77135E+18,America/Denver
3.77135E+18,America/Denver
3.30303E+18,America/Denver
3.30303E+18,America/Denver
3.30303E+18,America/Denver
3.30303E+18,America/Denver
3.30303E+18,America/Denver
3.30303E+18,America/Denver
3.30303E+18,America/Denver
3.72015E+18,America/Denver
3.72015E+18,America/Denver
3.72015E+18,America/Denver
3.72015E+18,America/Denver
3.72015E+18,America/Denver
3.72015E+18,America/Denver
3.72015E+18,America/Denver
2.18498E+18,America/Denver
2.18498E+18,America/Denver
2.18498E+18,America/Denver
4.72236E+18,America/Denver
4.72236E+18,America/Denver
2.85954E+18,America/Denver
2.85954E+18,America/Denver
2.86263E+18,America/Denver
2.86263E+18,America/Denver
4.59367E+18,America/Denver
4.59367E+18,America/Denver
2.06458E+18,America/Denver
2.06458E+18,America/Denver
2.06458E+18,America/Denver
4.60953E+18,America/Denver
4.60953E+18,America/Denver
5.77486E+18,America/Denver
5.77486E+18,America/Denver
7.42141E+18,America/Denver
7.42141E+18,America/Denver
7.42141E+18,America/Denver
7.42141E+18,America/Denver
7.42141E+18,America/Denver
7.42141E+18,America/Denver
7.42141E+18,America/Denver
2.57283E+18,America/Denver
2.57283E+18,America/Denver
2.57283E+18,America/Denver
2.57283E+18,America/Denver
2.57283E+18,America/Denver
2.57283E+18,America/Denver
2.57283E+18,America/Denver
7.30495E+18,America/Denver
7.30495E+18,America/Denver
1.2304E+18,America/Denver
1.2304E+18,America/Denver
8.16786E+18,America/Denver
8.16786E+18,America/Denver
6.1426E+18,America/Denver
6.1426E+18,America/Denver
6.1426E+18,America/Denver
6.1426E+18,America/Denver
